Run,Organism,Subgénero asignado,Nota
SRR10568982,(Prunus persica x Prunus davidiana) x Prunus persica,Amygdalus,
SRR10568983,Prunus cerasifera x Prunus persica,Ambigua,Cruce entre subgéneros diferentes
SRR10568984,Prunus cerasifera x Prunus persica,Ambigua,Cruce entre subgéneros diferentes
SRR10568985,Prunus cerasifera,Prunus,
SRR10568986,Prunus dulcis x Prunus persica,Amygdalus,
SRR10568987,Prunus dulcis x Prunus persica,Amygdalus,
SRR10568988,Prunus dulcis x Prunus persica,Amygdalus,
SRR10568989,Prunus cerasifera x Prunus dulcis,Ambigua,Cruce entre subgéneros diferentes
SRR10568990,(Prunus persica x Prunus davidiana) x (Prunus dulcis x Prunus persica),Amygdalus,
SRR10568991,Prunus mahaleb,Cerasus,
SRR10568992,Prunus persica,Amygdalus,
SRR10568993,Prunus cerasifera x (Prunus persica x Prunus dulcis),Ambigua,Cruce entre subgéneros diferentes
SRR10568994,Prunus dulcis x Prunus persica,Amygdalus,
SRR10568995,(Prunus dulcis x Prunus persica) x (Prunus dulcis x Prunus davidiana),Amygdalus,
SRR10568996,Prunus cerasifera x (Prunus persica x Prunus dulcis),Ambigua,Cruce entre subgéneros diferentes
SRR10568997,Prunus cerasifera,Prunus,
SRR10568998,Prunus cerasifera,Prunus,
SRR10568999,(Prunus persica x Prunus davidiana) x Prunus persica,Amygdalus,
SRR10569000,Prunus davidiana x Prunus persica,Amygdalus,
SRR10569001,(Prunus dulcis x Prunus persica) x (Prunus dulcis x Prunus persica),Amygdalus,
SRR10569002,Prunus tomentosa,Cerasus,
SRR10569003,Prunus cerasifera,Prunus,
SRR10569004,Prunus cerasifera,Prunus,
SRR10569005,Prunus cerasifera,Prunus,
SRR10569006,Prunus cerasifera x Prunus salicina,Prunus,
SRR10569007,Prunus cerasifera,Prunus,
SRR10569008,Prunus cerasifera,Prunus,
SRR10569009,Prunus cerasifera,Prunus,
SRR10569010,Prunus cerasifera,Prunus,
SRR10569011,Prunus avium,Cerasus,
SRR10569012,Prunus mahaleb x Prunus avium,Cerasus,
SRR10569013,Prunus mahaleb x Prunus avium,Cerasus,
SRR10569014,Prunus cerasifera x Prunus munsoniana,Prunus,
SRR10569015,Prunus cerasifera x Prunus munsoniana,Prunus,
SRR10569016,Prunus cerasifera,Prunus,
SRR10569017,Prunus salicina,Prunus,
SRR10569018,(Prunus cerasifera x Prunus salicina) x (Prunus cerasifera x Prunus persica),Ambigua,Cruce entre subgéneros diferentes
SRR10569019,Prunus dulcis x Prunus persica,Amygdalus,
SRR10569020,Prunus dulcis x Prunus persica,Amygdalus,
SRR10569021,Prunus dulcis x Prunus persica,Amygdalus,
SRR10569022,(Prunus persica x Prunus davidiana) x (Prunus dulcis x Prunus persica),Amygdalus,
SRR10569023,Prunus dulcis x Prunus persica,Amygdalus,
SRR10569024,Prunus dulcis x Prunus persica,Amygdalus,
SRR10569025,Prunus persica x Prunus dulcis,Amygdalus,
SRR10569026,Prunus davidiana x Prunus persica,Amygdalus,
SRR10569027,Prunus dulcis x Prunus persica,Amygdalus,
SRR10569028,Prunus besseyi x Prunus cerasifera,Prunus,
SRR10569029,Prunus salicina x Prunus persica,Ambigua,Cruce entre subgéneros diferentes
SRR10569030,Prunus salicina x Prunus persica,Ambigua,Cruce entre subgéneros diferentes
SRR10569031,Prunus dulcis,Amygdalus,
SRR10569032,Prunus davidiana x Prunus persica,Amygdalus,
SRR10569033,Prunus avium,Cerasus,
SRR10569034,Prunus salicina,Prunus,
SRR10569035,Prunus persica x (Prunus persica x Prunus davidiana),Amygdalus,
SRR10569036,Prunus persica x (Prunus persica x Prunus davidiana),Amygdalus,
SRR10569037,Prunus persica x (Prunus dulcis x Prunus persica),Amygdalus,
SRR10569038,Prunus cerasifera x (Prunus persica x Prunus dulcis),Ambigua,Cruce entre subgéneros diferentes
SRR10569039,Prunus cerasifera x Prunus persica,Ambigua,Cruce entre subgéneros diferentes
